"n_B","p","n_A","U:0","U:1","U:2","A:0","A:1","A:2","A:3","A:4","A:5","tau:0","tau:1","tau:2","tau:3","tau:4","tau:5","B:0","B:1","B:2","B:3","B:4","B:5","Points:0","Points:1","Points:2"

2.8568,2.3213e+07,0.13853,0,0,0,0.75915,-0.69526,0,1.0602,0,0.12867,8.8193,-10.032,0,9.9439,0,-0.057443,1.5591,-0.15401,0,1.4648,0,1.4305,1,1,0.01
2.8366,2.4962e+07,0.14862,0.42361,-0.6617,0,0.9673,-0.8192,0,0.97046,0,0.14001,11.404,-10.712,0,8.127,0,-0.035352,1.5792,-0.12603,0,1.4138,0,1.4209,1,1.001,0.01
2.8322,1.7809e+07,0.15086,0.7154,-0.9403,0,1.0638,-0.85876,0,0.91441,0,0.14121,12.695,-11.047,0,7.4374,0,-0.038523,1.5944,-0.12302,0,1.4062,0,1.419,1,1.002,0.01
2.8277,1.7313e+07,0.15308,1.0425,-1.2293,0,1.1431,-0.87867,0,0.86471,0,0.14231,13.404,-10.942,0,6.6882,0,-0.063247,1.5891,-0.10781,0,1.3925,0,1.4161,1,1.003,0.01
2.8246,1.6776e+07,0.15464,1.3962,-1.4984,0,1.209,-0.88289,0,0.81181,0,0.14132,13.903,-10.71,0,6.0628,0,-0.098057,1.5804,-0.094077,0,1.3869,0,1.4141,1,1.004,0.01
2.8195,1.6259e+07,0.15722,1.764,-1.7439,0,1.287,-0.87848,0,0.74815,0,0.14115,14.499,-10.423,0,5.3618,0,-0.13121,1.5698,-0.08194,0,1.3824,0,1.4112,1,1.005,0.01
2.8096,1.6015e+07,0.16216,2.1348,-1.9639,0,1.3914,-0.87143,0,0.67961,0,0.14421,15.348,-10.156,0,4.6301,0,-0.15192,1.5576,-0.072128,0,1.3776,0,1.4062,1,1.006,0.01
2.7909,1.5829e+07,0.17151,2.4987,-2.1554,0,1.5193,-0.87319,0,0.62749,0,0.15238,16.337,-9.9924,0,4.0484,0,-0.16676,1.5385,-0.063064,0,1.3699,0,1.3967,1,1.007,0.01
2.7583,1.5666e+07,0.18778,2.8474,-2.3165,0,1.6738,-0.89025,0,0.6004,0,0.16761,17.42,-9.9742,0,3.6785,0,-0.17874,1.5072,-0.053621,0,1.3568,0,1.3803,1,1.008,0.01
2.7106,1.5526e+07,0.21166,3.1739,-2.4462,0,1.866,-0.91914,0,0.58936,0,0.1921,18.732,-10.085,0,3.4212,0,-0.17149,1.4648,-0.044693,0,1.3375,0,1.3565,1,1.009,0.01
2.648,1.5405e+07,0.24295,3.4725,-2.544,0,2.0977,-0.94512,0,0.57929,0,0.22754,20.33,-10.175,0,3.1033,0,-0.13066,1.4132,-0.036206,0,1.311,0,1.3252,1,1.01,0.01
2.5698,1.53e+07,0.28206,3.7385,-2.6106,0,2.3565,-0.95247,0,0.56464,0,0.27738,22.084,-10.086,0,2.6603,0,-0.02599,1.3519,-0.028086,0,1.2766,0,1.2859,1,1.011,0.01
2.4762,1.5205e+07,0.32887,3.9694,-2.6477,0,2.6079,-0.93308,0,0.55255,0,0.34367,23.653,-9.7432,0,2.1604,0,0.15988,1.2813,-0.020655,0,1.2343,0,1.2387,1,1.012,0.01
2.3697,1.5099e+07,0.38212,4.165,-2.6584,0,2.7806,-0.89191,0,0.55159,0,0.41139,24.383,-9.2128,0,1.6991,0,0.28738,1.2048,-0.014716,0,1.1851,0,1.1846,1,1.013,0.01
2.2548,1.4978e+07,0.43954,4.327,-2.6465,0,2.868,-0.83475,0,0.54832,0,0.46275,24.293,-8.5635,0,1.162,0,0.20542,1.1279,-0.010831,0,1.1311,0,1.1261,1,1.014,0.01
2.1371,1.487e+07,0.49842,4.4584,-2.6163,0,2.9139,-0.75259,0,0.53625,0,0.51119,23.88,-7.7009,0,0.50745,0,0.081325,1.0549,-0.0087768,0,1.075,0,1.0662,1,1.015,0.01
2.0218,1.479e+07,0.55603,4.5635,-2.572,0,2.9145,-0.63284,0,0.53716,0,0.584,23.13,-6.4884,0,-0.022375,0,0.21642,0.98826,-0.0080232,0,1.0192,0,1.0078,1,1.016,0.01
1.914,1.4729e+07,0.60996,4.6474,-2.5179,0,2.8488,-0.51204,0,0.56165,0,0.66442,21.855,-5.2821,0,-0.29639,0,0.47012,0.93041,-0.0081007,0,0.96632,0,0.95326,1,1.017,0.01
1.8163,1.4668e+07,0.65881,4.7159,-2.4581,0,2.7321,-0.41219,0,0.59922,0,0.73112,20.198,-4.2904,0,-0.40218,0,0.64512,0.88146,-0.0084412,0,0.91782,0,0.90424,1,1.018,0.01
1.7296,1.4599e+07,0.70217,4.7742,-2.396,0,2.5993,-0.32222,0,0.63762,0,0.7863,18.472,-3.3947,0,-0.45404,0,0.76489,0.83985,-0.0086367,0,0.87435,0,0.86096,1,1.019,0.01
1.6371,1.4577e+07,0.74837,4.8382,-2.3193,0,2.431,-0.2346,0,0.68481,0,0.84071,16.389,-2.5174,0,-0.45408,0,0.85301,0.79674,-0.0085746,0,0.82765,0,0.81506,1,1.02,0.01
1.5334,1.4514e+07,0.80022,4.9204,-2.2164,0,2.2081,-0.14573,0,0.74627,0,0.90077,13.727,-1.6241,0,-0.37424,0,0.9467,0.74919,-0.0083427,0,0.77499,0,0.76379,1,1.0219,0.01
1.4433,1.4395e+07,0.84532,5.0077,-2.1077,0,1.9976,-0.081636,0,0.79805,0,0.94627,11.252,-0.97703,0,-0.32573,0,0.96412,0.70811,-0.0080372,0,0.72898,0,0.71936,1,1.0239,0.01
1.3743,1.4307e+07,0.87982,5.0908,-2.0093,0,1.84,-0.04146,0,0.82745,0,0.97325,9.3866,-0.56886,0,-0.39407,0,0.89917,0.67641,-0.0077149,0,0.69361,0,0.68538,1,1.0258,0.01
1.321,1.4218e+07,0.90642,5.1699,-1.9205,0,1.716,-0.014302,0,0.84309,0,0.98991,7.9204,-0.29197,0,-0.51865,0,0.80725,0.65179,-0.0074485,0,0.66625,0,0.65914,1,1.0277,0.01
1.2798,1.414e+07,0.92706,5.2445,-1.8403,0,1.6169,0.0032363,0,0.8503,0,0.9996,6.7514,-0.11236,0,-0.66532,0,0.70323,0.63256,-0.0072363,0,0.64499,0,0.63878,1,1.0297,0.01
1.2477,1.4069e+07,0.9431,5.3138,-1.767,0,1.5357,0.013545,0,0.85337,0,1.0048,5.7992,-0.0059018,0,-0.80463,0,0.59884,0.61754,-0.0070677,0,0.62847,0,0.62294,1,1.0316,0.01
1.2228,1.4006e+07,0.95556,5.3773,-1.6992,0,1.4681,0.017817,0,0.85465,0,1.0071,5.0134,0.039578,0,-0.9237,0,0.50066,0.60582,-0.0069292,0,0.61565,0,0.61063,1,1.0335,0.01
1.2034,1.395e+07,0.96523,5.4347,-1.6355,0,1.4111,0.017419,0,0.85562,0,1.0077,4.358,0.037978,0,-1.016,0,0.41221,0.59669,-0.0068105,0,0.60572,0,0.60108,1,1.0355,0.01
1.1884,1.3899e+07,0.97272,5.4859,-1.5747,0,1.3629,0.01343,0,0.857,0,1.0073,3.8084,0.00020425,0,-1.0806,0,0.33502,0.58959,-0.0067046,0,0.59805,0,0.59369,1,1.0374,0.01
1.1769,1.3854e+07,0.97851,5.5309,-1.5161,0,1.3218,0.0066163,0,0.85921,0,1.0064,3.3461,-0.065991,0,-1.1188,0,0.26936,0.58409,-0.0066079,0,0.59214,0,0.58798,1,1.0394,0.01
1.168,1.3813e+07,0.98296,5.5701,-1.459,0,1.287,-0.0022495,0,0.86221,0,1.0052,2.9579,-0.15285,0,-1.1347,0,0.21484,0.57985,-0.0065181,0,0.58762,0,0.58361,1,1.0413,0.01
1.1612,1.3776e+07,0.98634,5.6036,-1.4029,0,1.2573,-0.012843,0,0.86624,0,1.004,2.6303,-0.2571,0,-1.1289,0,0.17058,0.57663,-0.0064348,0,0.5842,0,0.58029,1,1.0432,0.01
1.1561,1.3742e+07,0.98889,5.632,-1.3474,0,1.2324,-0.02448,0,0.87085,0,1.003,2.3576,-0.37191,0,-1.1084,0,0.13561,0.5742,-0.0063572,0,0.58165,0,0.5778,1,1.0452,0.01
1.1524,1.3712e+07,0.99075,5.6557,-1.2924,0,1.2111,-0.037444,0,0.87637,0,1.002,2.1285,-0.5001,0,-1.0716,0,0.10883,0.57243,-0.0062849,0,0.5798,0,0.576,1,1.0471,0.01
1.1498,1.3683e+07,0.99205,5.6751,-1.2375,0,1.1937,-0.050837,0,0.88213,0,1.0013,1.942,-0.63278,0,-1.0263,0,0.089203,0.57118,-0.0062224,0,0.57854,0,0.57474,1,1.049,0.01
1.1482,1.3654e+07,0.99285,5.6906,-1.1827,0,1.1784,-0.066916,0,0.88936,0,1.0007,1.7823,-0.79241,0,-0.96088,0,0.076315,0.57042,-0.0061648,0,0.57779,0,0.57398,1,1.051,0.01
1.1475,1.3625e+07,0.99318,5.7027,-1.1276,0,1.1648,-0.086043,0,0.89904,0,1.0003,1.6436,-0.98239,0,-0.86596,0,0.070222,0.57014,-0.0061014,0,0.57753,0,0.57372,1,1.0529,0.01
1.1476,1.3602e+07,0.99314,5.7119,-1.0719,0,1.1579,-0.099502,0,0.90527,0,1.0001,1.5744,-1.1156,0,-0.8018,0,0.069282,0.57017,-0.006035,0,0.57765,0,0.57379,1,1.0548,0.01
1.1483,1.3583e+07,0.99277,5.7187,-1.0154,0,1.1562,-0.11061,0,0.90891,0,1.0001,1.5598,-1.2254,0,-0.7598,0,0.072877,0.57047,-0.0059699,0,0.57811,0,0.57417,1,1.0568,0.01
1.1497,1.3564e+07,0.99208,5.7237,-0.95778,0,1.1552,-0.12595,0,0.91478,0,1.0002,1.556,-1.3773,0,-0.69139,0,0.082163,0.57109,-0.0058965,0,0.57894,0,0.57489,1,1.0587,0.01
1.1517,1.3544e+07,0.99109,5.7277,-0.89854,0,1.1563,-0.1384,0,0.92042,0,1.0006,1.574,-1.4999,0,-0.62188,0,0.096402,0.57196,-0.0057997,0,0.58009,0,0.5759,1,1.0606,0.01
1.1546,1.3525e+07,0.98963,5.7315,-0.83725,0,1.1621,-0.147,0,0.92386,0,1.0013,1.6433,-1.5833,0,-0.5695,0,0.11703,0.57325,-0.0056709,0,0.58172,0,0.57735,1,1.0626,0.01
1.1589,1.3506e+07,0.98748,5.7363,-0.77342,0,1.1742,-0.15791,0,0.92642,0,1.0021,1.782,-1.6889,0,-0.51824,0,0.14676,0.5752,-0.005497,0,0.58408,0,0.5795,1,1.0645,0.01
1.1649,1.3488e+07,0.98449,5.7436,-0.70658,0,1.1937,-0.17066,0,0.92781,0,1.0031,2.0017,-1.8116,0,-0.46986,0,0.18672,0.57794,-0.0052572,0,0.5873,0,0.58247,1,1.0665,0.01
1.173,1.347e+07,0.98046,5.7554,-0.63632,0,1.2213,-0.18323,0,0.92757,0,1.0043,2.3113,-1.9307,0,-0.42753,0,0.23758,0.58166,-0.0049283,0,0.59155,0,0.58645,1,1.0684,0.01
1.1838,1.3454e+07,0.97504,5.7736,-0.56231,0,1.2584,-0.19518,0,0.9254,0,1.0054,2.7292,-2.0416,0,-0.39069,0,0.30087,0.5867,-0.0044958,0,0.59719,0,0.59178,1,1.0703,0.01
1.1985,1.3437e+07,0.96769,5.8005,-0.48441,0,1.3113,-0.20413,0,0.91679,0,1.006,3.3228,-2.1201,0,-0.39896,0,0.37855,0.5936,-0.0039463,0,0.60475,0,0.59901,1,1.0723,0.01
1.2187,1.342e+07,0.95757,5.8386,-0.40276,0,1.384,-0.21092,0,0.90144,0,1.0056,4.1391,-2.1743,0,-0.44776,0,0.47145,0.60315,-0.0032639,0,0.61505,0,0.60896,1,1.0742,0.01
1.247,1.34e+07,0.94342,5.8903,-0.31802,0,1.4795,-0.21828,0,0.8811,0,1.0028,5.2214,-2.2307,0,-0.50895,0,0.58006,0.61659,-0.0024,0,0.62923,0,0.62282,1,1.0761,0.01
1.287,1.3394e+07,0.92343,5.9578,-0.23149,0,1.6059,-0.22715,0,0.85313,0,0.99596,6.6683,-2.2977,0,-0.59141,0,0.70376,0.63573,-0.0013176,0,0.6491,0,0.64244,1,1.0781,0.01
1.3363,1.3365e+07,0.8988,6.0318,-0.15543,0,1.7508,-0.23979,0,0.82074,0,0.98373,8.3444,-2.4016,0,-0.67385,0,0.81975,0.65942,-0.00019694,0,0.67348,0,0.66667,1,1.08,0.01
1.3828,1.3331e+07,0.87552,6.0942,-0.10191,0,1.8798,-0.2549,0,0.79191,0,0.96937,9.8506,-2.5347,0,-0.73481,0,0.90209,0.68184,0.00070783,0,0.69649,0,0.68961,1,1.081,0.01
1.4296,1.3328e+07,0.85217,6.1501,-0.059842,0,2.0034,-0.27395,0,0.76427,0,0.95267,11.303,-2.7098,0,-0.78409,0,0.96237,0.70437,0.0014782,0,0.71952,0,0.71265,1,1.082,0.01
1.4862,1.3321e+07,0.82382,6.2098,-0.019699,0,2.1467,-0.30161,0,0.73199,0,0.92969,13.001,-2.9718,0,-0.83188,0,1.0095,0.7318,0.0022046,0,0.74744,0,0.74067,1,1.083,0.01
1.555,1.3311e+07,0.78945,6.2712,0.017739,0,2.3118,-0.33961,0,0.69392,0,0.89836,14.978,-3.3407,0,-0.87961,0,1.0338,0.76525,0.0027603,0,0.78128,0,0.77473,1,1.084,0.01
1.638,1.33e+07,0.74795,6.3306,0.051632,0,2.4986,-0.38798,0,0.64873,0,0.85619,17.247,-3.8213,0,-0.92935,0,1.0226,0.80609,0.0029136,0,0.82213,0,0.81601,1,1.085,0.01
1.7373,1.3288e+07,0.69832,6.3825,0.081131,0,2.7012,-0.44361,0,0.59518,0,0.80055,19.772,-4.3906,0,-0.98326,0,0.96169,0.8559,0.00226,0,0.87103,0,0.8656,1,1.086,0.01
1.8538,1.3273e+07,0.64002,6.419,0.10542,0,2.9039,-0.4991,0,0.53269,0,0.72955,22.428,-4.9876,0,-1.041,0,0.83993,0.91644,0.00015032,0,0.92853,0,0.92416,1,1.087,0.01
1.9869,1.3257e+07,0.57351,6.4297,0.1238,0,3.0774,-0.54318,0,0.46257,0,0.64387,24.952,-5.5175,0,-1.0938,0,0.66145,0.98919,-0.0043026,0,0.99421,0,0.99133,1,1.088,0.01
2.1325,1.3243e+07,0.50068,6.4019,0.13575,0,3.1799,-0.56373,0,0.38878,0,0.54835,26.953,-5.8773,0,-1.1223,0,0.45466,1.0744,-0.012024,0,1.0661,0,1.0652,1,1.089,0.01
2.2837,1.3235e+07,0.42509,6.321,0.14098,0,3.1769,-0.55494,0,0.32028,0,0.45565,28.073,-6.0213,0,-1.0733,0,0.30772,1.1697,-0.023611,0,1.1406,0,1.142,1,1.09,0.01
2.431,1.3231e+07,0.35144,6.172,0.13951,0,3.0437,-0.51648,0,0.25816,0,0.36756,27.99,-5.9429,0,-0.98488,0,0.18419,1.269,-0.038925,0,1.2129,0,1.2167,1,1.091,0.01
2.5651,1.3226e+07,0.28439,5.9401,0.13173,0,2.7823,-0.45525,0,0.20226,0,0.28472,26.585,-5.6934,0,-0.90585,0,0.036688,1.3629,-0.057064,0,1.2783,0,1.2842,1,1.092,0.01
2.6794,1.3225e+07,0.22725,5.6125,0.11838,0,2.4386,-0.38614,0,0.15859,0,0.21768,24.183,-5.4013,0,-0.80447,0,-0.062207,1.4433,-0.077017,0,1.3338,0,1.3414,1,1.093,0.01
2.7714,1.3227e+07,0.18123,5.1781,0.10057,0,2.0709,-0.32163,0,0.12704,0,0.16805,21.303,-5.1786,0,-0.68774,0,-0.10444,1.5061,-0.098133,0,1.3784,0,1.3871,1,1.094,0.01
2.8423,1.3231e+07,0.14578,4.6289,0.07977,0,1.7259,-0.26835,0,0.10507,0,0.13297,18.422,-5.0862,0,-0.56988,0,-0.10851,1.5523,-0.12015,0,1.413,0,1.4221,1,1.095,0.01
2.8953,1.3237e+07,0.11929,3.9587,0.057731,0,1.4316,-0.22776,0,0.089873,0,0.10856,15.885,-5.1384,0,-0.4589,0,-0.094157,1.5858,-0.14306,0,1.4394,0,1.4483,1,1.096,0.01
2.934,1.3242e+07,0.099923,3.1632,0.036453,0,1.1986,-0.19838,0,0.079193,0,0.091429,13.872,-5.3197,0,-0.3577,0,-0.076148,1.6113,-0.16681,0,1.4595,0,1.4675,1,1.097,0.01
2.9614,1.3237e+07,0.086261,2.2395,0.018109,0,1.0281,-0.17817,0,0.071615,0,0.079325,12.454,-5.6077,0,-0.26456,0,-0.062678,1.6325,-0.19132,0,1.4748,0,1.481,1,1.098,0.01
2.9786,1.3272e+07,0.077653,1.1856,0.0052218,0,0.92046,-0.16599,0,0.066625,0,0.071364,11.668,-5.9754,0,-0.17952,0,-0.055831,1.6513,-0.2158,0,1.4858,0,1.4896,1,1.099,0.01
2.9847,1.3314e+07,0.07459,0,0,0,0.88264,-0.16184,0,0.064769,0,0.068397,11.437,-6.1749,0,-0.13963,0,-0.053973,1.6602,-0.22785,0,1.4903,0,1.4928,1,1.1,0.01
2.1156,1.1928e+07,0.50912,0,0,0,0.49316,0.35433,0,3.2386,0,0.64063,-0.20794,3.556,0,27.299,0,1.2673,1.0554,0.00064773,0,1.0581,0,1.0554,1.1,1,0.01
2.1291,1.1954e+07,0.50237,-0.00060516,-0.00066897,0,0.47885,0.35678,0,3.2538,0,0.62845,-0.2847,3.6132,0,27.558,0,1.2176,1.0621,0.002283,0,1.0669,0,1.0624,1.099,1,0.01
2.168,1.1953e+07,0.48295,0.00028454,-0.025286,0,0.4388,0.35636,0,3.2899,0,0.59398,-0.49838,3.6833,0,28.23,0,1.0785,1.0811,0.0059974,0,1.0921,0,1.0824,1.098,1,0.01
2.2279,1.1903e+07,0.45297,0.0048263,-0.076522,0,0.3807,0.34086,0,3.3233,0,0.54229,-0.79948,3.6208,0,29.061,0,0.87651,1.1101,0.01062,0,1.132,0,1.1131,1.097,1,0.01
2.3033,1.1856e+07,0.4153,0.015425,-0.15852,0,0.31475,0.30544,0,3.3258,0,0.47977,-1.1182,3.3768,0,29.745,0,0.64434,1.146,0.016132,0,1.1837,0,1.1516,1.096,1,0.01
2.387,1.1811e+07,0.37342,0.034033,-0.27609,0,0.251,0.25279,0,3.2742,0,0.41354,-1.3899,2.9742,0,30.002,0,0.41508,1.1852,0.022328,0,1.2433,0,1.1942,1.095,1,0.01
2.4719,1.1771e+07,0.33098,0.062219,-0.43366,0,0.19671,0.19098,0,3.1594,0,0.35031,-1.5766,2.4863,0,29.664,0,0.2166,1.2243,0.028834,0,1.3051,0,1.2371,1.094,1,0.01
2.5516,1.174e+07,0.29116,0.10102,-0.63428,0,0.15505,0.12962,0,2.9894,0,0.295,-1.6732,2.0018,0,28.731,0,0.06511,1.2602,0.035288,0,1.3633,0,1.2771,1.093,1,0.01
2.6215,1.1721e+07,0.25621,0.15085,-0.87896,0,0.12573,0.076324,0,2.7856,0,0.25013,-1.6982,1.592,0,27.347,0,-0.035631,1.2911,0.041446,0,1.4135,0,1.312,1.092,1,0.01
2.6794,1.1711e+07,0.22726,0.2115,-1.1664,0,0.10644,0.034843,0,2.5733,0,0.21599,-1.6798,1.2916,0,25.736,0,-0.091727,1.3161,0.047164,0,1.4536,0,1.3407,1.091,1,0.01
2.725,1.1709e+07,0.20444,0.2822,-1.493,0,0.094363,0.0053357,0,2.3741,0,0.19139,-1.6428,1.0996,0,24.116,0,-0.11447,1.3354,0.052315,0,1.4836,0,1.3633,1.09,1,0.01
2.7594,1.1712e+07,0.18724,0.36177,-1.8536,0,0.087069,-0.014319,0,2.202,0,0.17448,-1.6036,0.99152,0,22.646,0,-0.11594,1.3496,0.056739,0,1.5047,0,1.3803,1.089,1,0.01
2.7842,1.1718e+07,0.17484,0.44873,-2.2416,0,0.082851,-0.027111,0,2.0631,0,0.1634,-1.5695,0.93412,0,21.413,0,-0.10614,1.3596,0.060265,0,1.5187,0,1.3925,1.088,1,0.01
2.8012,1.1726e+07,0.16633,0.54145,-2.6497,0,0.080636,-0.035942,0,1.9581,0,0.15655,-1.5417,0.89546,0,20.447,0,-0.09187,1.3664,0.062747,0,1.5272,0,1.4009,1.087,1,0.01
2.8119,1.1735e+07,0.16102,0.63823,-3.0703,0,0.079797,-0.042735,0,1.8884,0,0.15287,-1.5198,0.85425,0,19.785,0,-0.077335,1.3705,0.064083,0,1.5316,0,1.4061,1.086,1,0.01
2.8171,1.1746e+07,0.15839,0.73736,-3.4959,0,0.079855,-0.048151,0,1.8544,0,0.15154,-1.5039,0.80442,0,19.448,0,-0.065762,1.3726,0.0643,0,1.533,0,1.4087,1.085,1,0.01
2.8182,1.1756e+07,0.15786,0.83727,-3.9192,0,0.080643,-0.054364,0,1.8472,0,0.15185,-1.4906,0.72388,0,19.348,0,-0.057629,1.3732,0.063378,0,1.5319,0,1.4092,1.084,1,0.01
2.8156,1.1763e+07,0.15917,0.93649,-4.3335,0,0.08232,-0.063687,0,1.864,0,0.15381,-1.4774,0.58938,0,19.446,0,-0.051987,1.3723,0.061315,0,1.5277,0,1.4079,1.083,1,0.01
2.809,1.1772e+07,0.16243,1.0337,-4.7326,0,0.084743,-0.075132,0,1.9099,0,0.1577,-1.4671,0.41388,0,19.809,0,-0.046613,1.37,0.058262,0,1.5213,0,1.4046,1.082,1,0.01
2.7985,1.1789e+07,0.16769,1.1278,-5.1109,0,0.08767,-0.087833,0,1.9874,0,0.16369,-1.4644,0.20842,0,20.478,0,-0.038758,1.366,0.054338,0,1.5133,0,1.3993,1.081,1,0.01
2.7794,1.1759e+07,0.17722,1.238,-5.541,0,0.09191,-0.10508,0,2.1277,0,0.17463,-1.4769,-0.079334,0,21.73,0,-0.022685,1.3585,0.048572,0,1.5011,0,1.3899,1.08,1,0.01
2.7384,1.1749e+07,0.19776,1.3779,-6.0605,0,0.099075,-0.12984,0,2.4115,0,0.19891,-1.5426,-0.49805,0,24.299,0,0.020918,1.3414,0.040015,0,1.4773,0,1.3697,1.0781,1,0.01
2.6656,1.1781e+07,0.23413,1.5154,-6.5389,0,0.10947,-0.15477,0,2.8568,0,0.24439,-1.7131,-0.93933,0,28.292,0,0.12297,1.3095,0.030414,0,1.4362,0,1.3338,1.0761,1,0.01
2.5558,1.1795e+07,0.28904,1.6271,-6.8967,0,0.12381,-0.16729,0,3.4018,0,0.3178,-2.0222,-1.2391,0,32.992,0,0.31945,1.2594,0.021682,0,1.3713,0,1.2795,1.0742,1,0.01
2.4046,1.181e+07,0.36462,1.7119,-7.1381,0,0.14094,-0.15886,0,3.864,0,0.40558,-2.5115,-1.2986,0,36.453,0,0.44014,1.1886,0.014493,0,1.2754,0,1.2039,1.0723,1,0.01
2.2205,1.1795e+07,0.45669,1.7708,-7.2745,0,0.15596,-0.13559,0,4.072,0,0.47432,-3.1973,-1.1781,0,37.074,0,0.18741,1.1007,0.0088878,0,1.1565,0,1.1108,1.0703,1,0.01
2.026,1.1778e+07,0.55393,1.8063,-7.3223,0,0.17324,-0.10222,0,4.0927,0,0.53899,-3.9259,-0.92916,0,35.857,0,-0.15878,1.0071,0.0046485,0,1.0366,0,1.0125,1.0684,1,0.01
1.8463,1.1792e+07,0.6438,1.8217,-7.2994,0,0.20503,-0.047311,0,3.9738,0,0.6422,-4.4507,-0.43851,0,33.473,0,-0.03619,0.91998,0.0017288,0,0.93194,0,0.92213,1.0665,1,0.01
1.696,1.1823e+07,0.71893,1.821,-7.2247,0,0.24756,0.016891,0,3.6946,0,0.75767,-4.7373,0.16724,0,29.762,0,0.36127,0.84682,-8.3221e-05,0,0.8484,0,0.84671,1.0645,1,0.01
1.5787,1.1852e+07,0.7776,1.8087,-7.1163,0,0.28637,0.067077,0,3.3406,0,0.82828,-4.9113,0.64949,0,25.56,0,0.4774,0.78938,-0.0010621,0,0.78593,0,0.78788,1.0626,1,0.01
1.4908,1.1881e+07,0.82154,1.7887,-6.9891,0,0.31869,0.10344,0,3.0261,0,0.85557,-5.0135,1.0059,0,21.952,0,0.3113,0.74614,-0.0014221,0,0.74081,0,0.74396,1.0606,1,0.01
1.426,1.1916e+07,0.85392,1.7643,-6.8543,0,0.34903,0.13065,0,2.7908,0,0.87193,-5.0271,1.2788,0,19.275,0,0.15347,0.71409,-0.0013811,0,0.70839,0,0.71169,1.0587,1,0.01
1.3782,1.1957e+07,0.87784,1.7381,-6.7193,0,0.37961,0.15304,0,2.6058,0,0.89317,-4.9584,1.5082,0,17.195,0,0.12969,0.69028,-0.0011041,0,0.68495,0,0.68793,1.0568,1,0.01
1.3426,1.2001e+07,0.89566,1.7119,-6.5886,0,0.40848,0.17437,0,2.4473,0,0.91172,-4.8487,1.7295,0,15.446,0,0.14029,0.67242,-0.00070467,0,0.6678,0,0.67027,1.0548,1,0.01
1.3158,1.2046e+07,0.90906,1.687,-6.4649,0,0.43412,0.19344,0,2.3176,0,0.92108,-4.7286,1.929,0,14.029,0,0.10323,0.65891,-0.00025957,0,0.65511,0,0.65704,1.0529,1,0.01
1.2954,1.2092e+07,0.91926,1.664,-6.3487,0,0.45794,0.20955,0,2.2178,0,0.92812,-4.5954,2.099,0,12.942,0,0.074627,0.64856,0.00018294,0,0.64555,0,0.64699,1.051,1,0.01
1.2795,1.2141e+07,0.92719,1.6433,-6.24,0,0.48122,0.22385,0,2.1338,0,0.93611,-4.4448,2.2502,0,12.034,0,0.077883,0.64048,0.00059711,0,0.63818,0,0.63919,1.049,1,0.01
1.2669,1.2190e+07,0.93351,1.6248,-6.138,0,0.50414,0.23648,0,2.0591,0,0.94292,-4.2814,2.3841,0,11.233,0,0.085038,0.63403,0.00096964,0,0.63233,0,0.63299,1.0471,1,0.01
1.2566,1.2242e+07,0.93864,1.6082,-6.0415,0,0.52691,0.24726,0,1.9947,0,0.94799,-4.1071,2.4984,0,10.545,0,0.086307,0.6288,0.0012956,0,0.62756,0,0.62795,1.0452,1,0.01
1.2482,1.2294e+07,0.94285,1.5931,-5.9495,0,0.55041,0.25614,0,1.9379,0,0.95364,-3.9156,2.5928,0,9.9397,0,0.10226,0.62452,0.0015776,0,0.62361,0,0.62381,1.0432,1,0.01
1.2412,1.2348e+07,0.94632,1.5791,-5.8611,0,0.57487,0.26282,0,1.8854,0,0.95919,-3.7061,2.6645,0,9.3839,0,0.12407,0.62103,0.0018243,0,0.62029,0,0.6204,1.0413,1,0.01
1.2361,1.2404e+07,0.94892,1.5656,-5.7754,0,0.60072,0.26667,0,1.8377,0,0.96437,-3.4731,2.7074,0,8.8821,0,0.15079,0.61846,0.0020435,0,0.61776,0,0.61784,1.0394,1,0.01
1.2333,1.2461e+07,0.9503,1.5519,-5.6921,0,0.6293,0.26653,0,1.7933,0,0.97009,-3.1994,2.7099,0,8.4229,0,0.19477,0.61717,0.002238,0,0.61634,0,0.61649,1.0374,1,0.01
1.2326,1.2522e+07,0.95066,1.5373,-5.6107,0,0.66162,0.26235,0,1.7514,0,0.97628,-2.877,2.6716,0,7.998,0,0.25337,0.61695,0.0024124,0,0.61585,0,0.61614,1.0355,1,0.01
1.2335,1.2583e+07,0.95018,1.5209,-5.5309,0,0.69204,0.25843,0,1.7193,0,0.98137,-2.5639,2.6357,0,7.6771,0,0.30886,0.61763,0.0025815,0,0.6161,0,0.61661,1.0335,1,0.01
1.2373,1.2643e+07,0.94832,1.5017,-5.4524,0,0.7144,0.25844,0,1.7011,0,0.98453,-2.3163,2.6394,0,7.5074,0,0.3585,0.61976,0.0027589,0,0.61762,0,0.61845,1.0316,1,0.01
1.2449,1.271e+07,0.94447,1.4787,-5.3751,0,0.74007,0.26062,0,1.6874,0,0.98715,-2.0145,2.6655,0,7.4006,0,0.4225,0.62394,0.0029773,0,0.62106,0,0.62226,1.0297,1,0.01
1.2574,1.2788e+07,0.93822,1.4511,-5.3003,0,0.781,0.26268,0,1.6742,0,0.9903,-1.5345,2.6925,0,7.3219,0,0.51599,0.6306,0.0032937,0,0.62686,0,0.62849,1.0277,1,0.01
